1591756978	1702510138479	4	30	210	0,9397	0,5	0,1736	2	0,9659	0,7071	0,2588	22,552	7,6	1,0416	8	174,26	42,99	2,15	179,97	179,97	
1591756990	1702040356060	4	30	210	0,9659	0,7071	0,2588		0,9659	0,7071	0,2588	28,977	9,051	1,5528	8	223,9	51,2	3,215	397,87	3,25	hocam gerçek 1.sorum bu , bundan önce doldurmadan enter'a bastığımdan gitti yanlışlıkla...
1591757084	1602510445897	4	30	210	0.966	0.707	0.259	2	0.966	0.707	0.259	21.252	6.222	1.036	8	164.235	35.192	2.147	167.95	167.95	
1591757118	1702510158680	2	15	105	0,48	1,45	4,58					14,4	19,72	18,32	8	52,3	228,75	671,24	1166,15	316,53	Ia=0,5 Ib=-1 Ic=0,5  NIa=5  NIb=-10   NIc=5
1591757124	1602510573982	4	30	210	0.9659	0.7071	0.2588	2	0.9659	0.7071	0.2588	25.113	6.788	2.0224	8	194.05	38.39	4.09	201.543	336.179	
1591757134	 1702040589777	4	30	210	0.9659	0.7071	0.2588	2	0.9659	0.7072	0.2589	36.7042	10.7479	1.5528	8	283.62	60.80	3.216	290.081	491.26	
1591757173	1702510179560	4	30	240	0.866	0	-0.866	2	0.966	0.707	0.259	29.44	0	-3.464	8	227.5	0	-7.177	227.51	227.51	
1591757180	1502041051828	4	30	210	0.9659	0.7071	0.2588	2	0.9659	0.7071	0.2588	36.7	9.05	1.04	8	283.324	51.194	2.153	287.92	287.92	
1591757197	1702510688370	4	30	210	0.9659	0.7071	0.2588	2	0.9659	0.7071	0.2588	21.2498	7.9195	1.0352	8	164.2	44.8	2.15	170.215	164.21	
1591757205	1402510481865	2	15	105	0.7933	0.3826	0.9914	1	0.9659	0.7071	0.2588	20.6258	4.5835	7.9312	8	159.37	25.92	16.42	1100.83	428.98	
1591757216	1602510903721	4	30	210	0.9659	0.7071	0.2588	2	0.9659	0.7071	0.2588	34.7724	7.3538	1.5528	8	268.69	41.599	3.215	271.910	465.418	
1591757221	1702510218196	4	30	210	0.9659	0.7071	0.2588	2	0.9659	0.7071	0.2588	3647	2828	1149	8	28181	15997	2379	32492	32492	Sorunun en başında kutup sayısını 2 almak yerine 4 aldığım için ku1 ku3 ku5 değerlerimde hata olmuş. Hiçbirini düzeltmeden kağıdımda olduğu gibi gönderdim. Saygılarımla.
1591757273	1702510424087	4	30	420	0.5	1	0.5	2	0.96	0.71	0.26	16	15.2	0.26	8	122.88	86.34	4.16	150.24	212.96	
1591757290	1502040115404	4	30	210	0.96	0.7	0.25	2	0.9659	0.7071	0.2588	27.0452	8.4852	2.0704	8	208.9836	47.99	4.2865	214.4455	214.4455	
1591757359	1702040155291	4	30	210	0.965	0.707	0.258	2	0.967	0.709	0.259	34.74	8.48	1.032	8	268.7	48.0	2.138	273	273	Üçgen bağlı olduğu için fazlar arası gerilim ile etkin gerilim birbirine eşittir.
1591757423	1402511001848	4	30	210	0,9659	0,7071	0,2588		0,9659	0,707	0,2588	21,24	10,182	1,5528	8	164,125	57,5575	3,2149	173,96	173,96	
1591757448	1502511041431	4	30	210	0,9659	-0,7071	0,2588	2	0,9660	0,7071	0,2588	32,84	-9,62	1,55	8	253,76	54,42	3,21	260	439,6	
1591757466	1502041023631	4	15	120	0.8660	0	-0.8660	4	0.9916	0.9240	0.7934	22.516	0	-3.464	8	178.615	0	-22	180	180	
1591757505	1702510759521	4	30	210	0,9659	0,7071	0,2588	2													
1591757583	1602040376270	4	30	210	0.961	0.707	0.258	2	0.9659	0.7071	0.2588	23.1816	7.91952	1.5528					24.49	40.095	
1591757585	1702040103394	4	30	210	0.9659	0.7071	0.2588	2	0.965	0.707	0.259	32.84	10.18	1.55	8	253.52	57.58	3.21	260	260	
1591757624	1602040531955	4	30	210	0.9659	0.7071	0.2588	2	0.9659	0.7071	0.2588	25.11	10.74	1.55	8	194.03	60.75	3.21	203	203	Fazlar etkin gerilimim "ÜÇGEN" bağlantı olduğu için tek faz etkin gerilimi ile eşittir.
1591757641	1702040569313	4	30	210	0.966	0.7071	0.2588	2	0.966	0.7071	0.2588	34.766 	9.616 	1.035	8	268.72 	54.396 	2.144 	274.179	274.179	
1591757666	1602510233568	4	30	210	0.9659	0.7071	0.2588	2	0.9659	0.7071	0.2588	25.11	6.22	1.04	8	194.03	35.19	2.15	1972.1	1972.1	
1591757681	1602510912254	4	30	210	0.966	0.707	0.259	2	0.965	0.707	0.259	23.184	10.181	1.036	8	178.98	57.584	2.147	188.028	188.028	
1591757687	1702040496049	4	30	210	0.9659	0.7071	0.2588	2	0.9659	0.7071	0.2588	21.25	6.79	1.55	8	164.2	38.4	3.2	168.66	168.66	
1591757701	1502040765360	4	30	210	0.9659	0.7071	0.2588	2	0.9659	0.7071	0.2588	27.0452	9.0508	2.0407	8	208.9836	51.1985	4.2865	215.2064	215.2064	
1591757729	1702040084994	4	60	300	0,5	1	0,5	2	0,866025403	0	0,866025403	27,7128129	0	3,464101612	8	191,9999997	0	23,99999996	193,4941856	193,5	
1591757760	1702040653427	4	30	210	0.9659	0.7071	0.2588	2	0.9659	0.7071	0.2588	34.77	10.18	1.55	8	268.67	57.58	3.209	274.790	268.69	
1591757803	1402511012284	4	30	210	0.9659	0.7071	0.2588	2	0.9659	0.7071	0.2588	23.18	10.17	2.07	8	179.13	57.5	4.3	188	188	
1591757840	1402510123562	4	30	210	0.9659	0.071	0.2588	2	0.9659	0.7071	0.2588	30.91	8.49	2.07	4	119.42	24.01	2.14	121.8		
1591757879	1702510705321	4	30	210	0.9659	0.707	0.2588	2	0.9659	0.707	0.2588	21.2498	6.22	1.5520	8	164.20	35.18	3.2149	167.957	167.95	
1591757956	1402511012284	4	30	210	0.9659	0.7071	0.2588	2	0.9659	0.7071	0.2588	23.18	10.17	2.07	8	179.13	57.5	4.3	188	188	
1591757962	1702040801336																				Ia=-1 Ib=0.5  Ic=0.5 n=10 
1591758056	1602510497668	4	30	210	0.9659	0.7071	0.2588	8	0.9659	0.7071	0.2588	32.84	9.05	1.04	8	253.76	51.19	2.15			
1591758064	1702040317962	4	30	210	0.9659	0.7071	0.2588	2	0.9803	0.7092	0.2590	36.70	6.788	1.03	8	287.72	38.51	2.134	290.29	290.29	
