1591757959	1702040325311	1000	0.05	1292	6300				4.305	-2.35	9451.84	2381.4	71834	70834	83667.24	0.846	99.5	711.89			0.642	-78.69	0.77	-4886	4.947	-81.04		0.1557	-1	
1591757959	1402510481865	1000	0.05	1.197	6300		4.47	-0.19	4.48	-2.44	12463.7	2381	72.07		14916														0	
1591757975	1602041003098	1000	0.05	1140	6300		4.94	-0.23	4.94	-2.7	9737.04	2381.4	83460.3	82460	95578.74	0.863	99.43	829.33	0.126	-0.63			5.0605	-0.3973	5.076	-4.48	8.792	0.997	-1	
1591757988	1702040356060	950	0,05	1140	6300		4,821	-0,22			3,164																		0	
1591757990	1702040084994																												0	
1591758057	1702510106815	1000	0.05	1159	6300				4.47	-2.44	14.865	2.381	69.473	68.473	86.719	0.78	99.5	688.1	1.26	-6.3		-	5.73	-6.4	8.58	-48.21	14.86	0.666	-1	
1591758066	1602510497668	1000	0.05	1532.3	6300	0	3.68	-2.01			10350	2380	62250	73980	74980	0.9867			0.126	0.630			3.81	0.5	3.84	7.48	6.65	0.99	1	NOT:sınavda kw olarak gönderdiğim değerleri burda watta çevirip öyle gönderdim.
1591758068	1702510629803	1000	0.05	1235	6300		2.65	-104.96	105	-88.55	9294.07	66.15	4084.76	3084.76	13444.98	22.94	99.48	31.00	1360.80	-189			1363.42	-293.37	1394.72	-12.16	2415.81	0.97	-1	
1591758127	1602510903721	1000	0.05	1.463	3637				2.11	-2	3432.56	793.666	19540.2	18540.2	23766.42	78	99.5	186.33	654.66	-363.7					2,8	9	2.8	0.987	-1	
1591758159	1702040653427	1000	0.05	1178	6300				60.17	85.60	2010	2382	1280	280	5672	0.049	99.5	2.81											0	
1591758173	1702040274588	1000	0.05	1444	6300		3.88	-0.14	3.89	-2.12	7898 	2381 	6555 	6455 	7583	85	99.5	0.65	126	-630	642	-78	129.88	-630.14	643	-78.35		0.201	-1	
1591758210	1702510611946	1000	0.05	1387	6300		3.74	-0.13	3.75	-2.05	12150	2381.4	58514	57514	73045.4	78.73	99.48	578.14	0.125	-0.629	0.642	-78.69	3.865	-0.759	3.93	-11.11	6.806	0.98	-1	
1591758225	1702510179560	1000	0.05	1520	6300		3.51	-0.117	3.52	-1.92	10073.4	2381.4	56500	55500	68954.8	80.4	99.5	557.79	0.126	-0.63			3.636	-0.74	3.71	-11.5	6.43	0.98	-1	
